Event,Cluster,Cluster Label
2020_Nov_Post,3,iPad & MacBook Events
2020_Nov,3,iPad & MacBook Events
2020_Nov_Pre,3,iPad & MacBook Events
2020_Oct_Post,1,iPhone & Watch Event
2020_Oct,1,iPhone & Watch Event
2020_Oct_Pre,1,iPhone & Watch Event
2020_Sept_Post,1,iPhone & Watch Event
2020_Sept,1,iPhone & Watch Event
2020_Sept_Pre,1,iPhone & Watch Event
2020_Jun_Post,0,WWDC
2020_Jun,0,WWDC
2020_Jun_Pre,0,WWDC
2019_Sept_Post,1,iPhone & Watch Event
2019_Sept,1,iPhone & Watch Event
2019_Sept_Pre,1,iPhone & Watch Event
2019_Jun,0,WWDC
2019_Jun_Pre,0,WWDC
2019_Mar_Post,2,Services Event
2019_Mar,2,Services Event
2019_Mar_Pre,2,Services Event
2018_Oct_Post,3,iPad & MacBook Events
2018_Oct,3,iPad & MacBook Events
2018_Oct_Pre,3,iPad & MacBook Events
2018_Sept_Post,1,iPhone & Watch Event
2018_Sept,1,iPhone & Watch Event
2018_Sept_Pre,1,iPhone & Watch Event
2018_Jun_Post,0,WWDC
2018_Jun,0,WWDC
2018_Jun_Pre,0,WWDC
2018_Mar,3,iPad & MacBook Events
